N,Q,A,TRI,OD
30.57,390,7972.94,421,2
30.57,390,7972.94,421,2
30.57,390,7972.94,421,2
30.57,390,7972.94,421,2
30.57,390,7972.94,421,2
30.57,390,7972.94,421,2
30.57,390,7972.94,421,2
30.57,390,7972.94,421,2
30.57,390,7972.94,421,2
30.57,390,7972.94,421,2
30.57,390,7972.94,421,2
30.57,390,7972.94,421,2
30.56,390,7972.94,421,2
30.56,390,7972.94,421,2
30.56,390,7972.94,421,2
30.56,390,7972.94,421,2
30.56,390,7972.94,421,2
30.56,390,7972.94,421,2
30.56,390,7972.94,421,2
30.56,390,7972.94,421,2
30.56,390,7972.94,421,2
30.56,390,7972.94,421,2
30.56,390,7972.94,421,2
30.56,390,7972.94,421,2
30.58,390,8126.61,600,2
30.70,390,8016.97,600,2
30.86,390,7990.98,600,2
30.96,390,7979.33,600,2
31.03,390,7973.48,600,2
31.08,390,7971.84,600,2
31.11,390,7970.67,600,2
31.14,390,7970.49,600,2
31.16,390,7970.34,600,2
31.18,390,7970.53,600,2
31.20,390,7970.64,600,2
31.21,390,7970.78,600,2
31.22,390,7970.91,600,2
31.23,390,7971.04,600,2
31.24,390,7971.15,600,2
31.24,390,7971.23,600,2
31.25,390,7971.31,600,2
31.25,390,7971.37,600,2
31.26,390,7971.43,600,2
31.26,390,7971.51,600,2
31.27,390,7971.56,600,2
31.27,390,7971.60,600,2
31.27,390,7971.64,600,2
31.28,390,7971.68,600,2
31.28,390,7971.73,600,2
31.28,390,7971.77,600,2
31.28,390,7971.80,600,2
31.29,390,7971.83,600,2
31.29,390,7971.87,600,2
31.29,390,7971.90,600,2
31.29,390,7971.93,600,2
31.29,390,7971.95,600,2
31.29,390,7971.97,600,2
31.29,390,7971.99,600,2
31.30,390,7972.01,600,2
31.30,390,7972.02,600,2
31.30,390,7972.02,600,2
31.30,390,7972.02,600,2
31.30,390,7972.02,600,2
31.30,390,7972.02,600,2
31.30,390,7972.02,600,2
31.30,390,7972.02,600,2
31.30,390,7972.02,600,2
31.30,390,7972.02,600,2
31.30,390,7972.02,600,2
31.30,390,7972.02,600,2
31.30,390,7972.02,600,2
31.30,390,7972.02,600,2
31.31,390,7972.00,600,2
31.31,390,7972.00,600,2
31.31,390,7972.00,600,2
31.31,390,7972.00,600,2
31.31,390,7972.00,600,2
31.31,390,7972.00,600,2
31.31,390,7972.00,600,2
31.31,390,7972.00,600,2
31.31,390,7972.00,600,2
31.31,390,7972.00,600,2
31.31,390,7972.00,600,2
31.31,390,7972.00,600,2
31.32,390,7972.00,600,2
31.32,390,7972.00,600,2
31.32,390,7972.00,600,2
31.32,390,7972.00,600,2
31.32,390,7972.00,600,2
31.32,390,7972.00,600,2
31.32,390,7972.00,600,2
31.32,390,7972.00,600,2
31.32,390,7972.00,600,2
31.32,390,7972.00,600,2
31.32,390,7972.00,600,2
31.32,390,7972.00,600,2
31.28,390.00,5376.48,600.00,0.80
31.02,390.00,5446.83,600.00,0.80
30.83,390.00,5482.72,600.00,0.80
30.72,390.00,5504.62,600.00,0.80
30.66,390.00,5517.46,600.00,0.80
30.61,390.00,5525.61,600.00,0.80
30.58,390.00,5530.98,600.00,0.80
30.55,390.00,5534.71,600.00,0.80
30.53,390.00,5537.21,600.00,0.80
30.50,390.00,5539.12,600.00,0.80
30.49,390.00,5540.57,600.00,0.80
30.47,390.00,5541.72,600.00,0.80
30.46,390.00,5542.61,600.00,0.80
30.45,390.00,5543.37,600.00,0.80
30.45,390.00,5543.37,600.00,0.80
30.43,390.00,5544.58,600.00,0.80
30.42,390.00,5545.06,600.00,0.80
30.42,390.00,5545.48,600.00,0.80
30.41,390.00,5545.88,600.00,0.80
30.41,390.00,5546.21,600.00,0.80
30.40,390.00,5546.56,600.00,0.80
30.40,390.00,5546.84,600.00,0.80
30.40,390.00,5547.13,600.00,0.80
30.39,390.00,5547.35,600.00,0.80
30.39,390.00,5547.64,600.00,0.80
30.39,390.00,5547.85,600.00,0.80
30.39,390.00,5548.08,600.00,0.80
30.39,390.00,5548.29,600.00,0.80
30.38,390.00,5548.52,600.00,0.80
30.38,390.00,5548.70,600.00,0.80
30.38,390.00,5548.90,600.00,0.80
30.38,390.00,5549.06,600.00,0.80
30.38,390.00,5549.27,600.00,0.80
30.38,390.00,5549.42,600.00,0.80
30.38,390.00,5549.60,600.00,0.80
30.38,390.00,5549.75,600.00,0.80
30.37,390.00,5551.39,600.00,0.80
30.37,390.00,5551.39,600.00,0.80
30.37,390.00,5551.39,600.00,0.80
30.37,390.00,5551.39,600.00,0.80
30.37,390.00,5551.39,600.00,0.80
30.37,390.00,5551.39,600.00,0.80
30.37,390.00,5551.39,600.00,0.80
30.37,390.00,5551.39,600.00,0.80
30.37,390.00,5551.39,600.00,0.80
30.37,390.00,5551.39,600.00,0.80
30.37,390.00,5551.39,600.00,0.80
30.37,390.00,5551.39,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.37,390.00,5554.70,600.00,0.80
30.38,390.00,5554.70,600.00,0.80
30.38,390.00,5554.70,600.00,0.80
30.38,390.00,5554.70,600.00,0.80
30.38,390.00,5554.70,600.00,0.80
30.38,390.00,5554.70,600.00,0.80
30.38,390.00,5554.70,600.00,0.80
30.38,390.00,5554.70,600.00,0.80
30.38,390.00,5554.70,600.00,0.80
30.38,390.00,5554.70,600.00,0.80
30.38,390.00,5554.70,600.00,0.80
30.38,390.00,5554.70,600.00,0.80
30.38,390.00,5554.70,600.00,0.80
30.39,390.00,5554.70,600.00,0.80
30.39,390.00,5554.70,600.00,0.80
30.39,390.00,5554.70,600.00,0.80
30.39,390.00,5554.70,600.00,0.80
30.39,390.00,5554.70,600.00,0.80
30.39,390.00,5554.70,600.00,0.80
30.39,390.00,5554.70,600.00,0.80
30.39,390.00,5554.70,600.00,0.80
30.39,390.00,5554.70,600.00,0.80
30.39,390.00,5554.70,600.00,0.80
30.39,390.00,5554.70,600.00,0.80
30.39,390.00,5554.70,600.00,0.80
30.40,390.00,5554.70,600.00,0.80
30.40,390.00,5554.70,600.00,0.80
30.40,390.00,5554.70,600.00,0.80
30.40,390.00,5554.70,600.00,0.80
30.40,390.00,5554.70,600.00,0.80
30.40,390.00,5554.70,600.00,0.80
30.40,390.00,5554.70,600.00,0.80
30.40,390.00,5554.70,600.00,0.80
30.40,390.00,5554.70,600.00,0.80
30.40,390.00,5554.70,600.00,0.80
30.40,390.00,5554.70,600.00,0.80
30.40,390.00,5554.70,600.00,0.80
30.41,390.00,5554.70,600.00,0.80
30.41,390.00,5554.70,600.00,0.80
30.41,390.00,5554.70,600.00,0.80
30.41,390.00,5554.70,600.00,0.80
30.41,390.00,5554.70,600.00,0.80
30.41,390.00,5554.70,600.00,0.80
30.41,390.00,5554.70,600.00,0.80
30.41,390.00,5554.70,600.00,0.80
30.41,390.00,5554.70,600.00,0.80
30.41,390.00,5554.70,600.00,0.80
30.41,390.00,5554.70,600.00,0.80
30.41,390.00,5554.70,600.00,0.80
30.42,390.00,5554.70,600.00,0.80
30.42,390.00,5554.70,600.00,0.80
30.42,390.00,5554.70,600.00,0.80
30.42,390.00,5554.70,600.00,0.80
